what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364670980113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364670981024
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1364671110203
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1364671125810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364671128754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1364671128773
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1364671129986
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1364671131528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1364671182532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364671185022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671207522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671222611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671223077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671224652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671230498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671233875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671242900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671244571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671260810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364671260978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364671262869
